Scrip,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
NABIL,09/10/2025,519.9,1.15,544,514,523.9,"43,284","2,25,72,450.20"
NABIL,08/10/2025,514,-1.34,523,505,523,"78,401","3,99,99,289.50"
NABIL,07/10/2025,521,-1.14,530,512.6,530,"48,977","2,54,50,439.70"
NABIL,28/09/2025,527,1.04,528,521,524,"30,997","1,62,69,472.50"
NABIL,25/09/2025,521.6,-0.08,524.9,516,523,"28,626","1,49,46,270.30"
NABIL,24/09/2025,522,-0.29,528,515,525,"59,254","3,09,32,259.00"
NABIL,23/09/2025,523.5,2.61,525,513,516.9,"55,373","2,87,77,561.90"
NABIL,21/09/2025,510.18,5.63,514,474,474,"1,22,490","6,17,35,387.90"
NABIL,18/09/2025,483,-5.88,502.9,471,502.9,"16,660","80,52,975.00"
NABIL,08/09/2025,513.15,-0.33,515,510,515,"42,962","2,19,64,392.80"
NABIL,07/09/2025,514.87,-0.52,517.8,507.3,507.3,"25,831","1,33,10,474.80"
NABIL,04/09/2025,517.58,-0.44,528,515,528,"40,199","2,07,49,919.00"
NABIL,03/09/2025,519.88,-0.74,529,519,520,"34,096","1,77,40,832.00"
NABIL,02/09/2025,523.75,-0.74,538.2,523.3,538.2,"34,983","1,84,05,010.20"
NABIL,01/09/2025,527.66,1.31,531.2,518,531.2,"42,334","2,22,22,760.80"
NABIL,31/08/2025,520.84,-1.52,536.9,520,535,"66,938","3,52,71,776.50"
NABIL,28/08/2025,528.86,-0.94,538.9,527,532,"83,641","4,45,71,924.60"
NABIL,27/08/2025,533.87,0.85,539.9,526.5,539.9,"64,476","3,41,75,100.60"
NABIL,26/08/2025,529.35,1.3,533,514.5,514.5,"67,932","3,59,00,524.60"
NABIL,25/08/2025,522.58,1.76,525,509,512,"81,167","4,19,35,363.20"
NABIL,24/08/2025,513.56,-0.88,520,513,520,"72,676","3,73,83,957.50"
NABIL,21/08/2025,518.14,-0.13,524.9,517.3,524.9,"38,427","1,99,25,528.20"
NABIL,20/08/2025,518.81,0,521,517,518,"43,704","2,26,66,843.80"
NABIL,19/08/2025,518.81,-0.03,525,518,525,"44,459","2,31,02,548.60"
NABIL,18/08/2025,518.95,-0.43,524,517,520,"48,703","2,53,13,878.10"
NABIL,17/08/2025,521.21,-0.5,528,519,525,"63,880","3,33,27,526.40"
NABIL,14/08/2025,523.82,0.04,526.5,523.1,524.1,"47,263","2,47,78,523.10"
NABIL,13/08/2025,523.63,-0.23,524.9,522,523,"50,014","2,61,91,841.40"
NABIL,12/08/2025,524.86,-0.27,534.5,524.2,530,"79,172","4,17,18,059.20"
NABIL,11/08/2025,526.3,-0.2,534,525,533,"69,423","3,66,44,323.00"
NABIL,07/08/2025,527.36,0.27,534.9,525.6,534.9,"63,502","3,35,10,621.60"
NABIL,06/08/2025,525.93,-0.34,530,523,530,"48,952","2,57,55,132.80"
NABIL,05/08/2025,527.73,-0.05,540,517.5,517.5,"91,553","4,86,40,299.20"
NABIL,04/08/2025,527.97,0.68,532,519,524.4,"1,03,313","5,43,18,530.10"
NABIL,03/08/2025,524.4,-2.25,538,522.5,536,"1,66,184","8,77,71,702.40"
NABIL,31/07/2025,536.48,-1.6,548.2,535,540.1,"1,10,940","5,97,09,752.80"
NABIL,30/07/2025,545.18,-0.61,555,545,550.7,"1,15,662","6,35,22,477.00"
NABIL,29/07/2025,548.55,1.5,552,545,547,"1,42,244","7,80,87,885.10"
NABIL,28/07/2025,540.43,-1.35,547,536,545.5,"1,83,214","9,88,69,241.30"
NABIL,27/07/2025,547.84,-0.04,554,545.1,550,"1,47,629","8,12,20,703.60"
NABIL,24/07/2025,547.6,-0.69,556,547.1,552,"95,913","5,27,52,517.70"
NABIL,23/07/2025,552,-0.47,562,543.6,543.6,"1,32,486","7,31,60,306.90"
NABIL,22/07/2025,554.63,1.73,555.5,545.2,545.2,"1,72,337","9,48,37,467.60"
NABIL,21/07/2025,545.21,-0.83,554,540,550,"1,26,936","6,93,39,704.90"
NABIL,20/07/2025,549.77,0.2,560,548,550,"2,33,008","12,90,64,235.30"
NABIL,17/07/2025,548.66,1.35,554,542.2,545,"1,92,877","10,60,84,134.40"
NABIL,16/07/2025,541.37,2.18,543.6,530,530,"2,60,180","14,04,12,352.70"
NABIL,15/07/2025,529.8,1.45,530,515,524,"1,36,308","7,10,47,008.50"
NABIL,14/07/2025,522.22,-2.53,538,521.1,538,"1,65,976","8,72,88,350.20"
NABIL,13/07/2025,535.77,4.81,537.5,521.3,521.3,"2,70,279","14,35,08,273.30"
NABIL,10/07/2025,511.17,2.44,522,500,503,"2,64,663","13,49,31,549.60"
NABIL,09/07/2025,499.01,0.72,500,495.2,500,"42,721","2,12,58,926.60"
NABIL,08/07/2025,495.46,-0.32,500,493,500,"33,006","1,63,72,932.90"
NABIL,07/07/2025,497.07,-0.76,503,496.3,500,"36,175","1,77,71,706.10"
NABIL,06/07/2025,500.89,0.54,506.8,499.1,506,"64,130","3,21,60,033.70"
NABIL,03/07/2025,498.22,0.66,500,490,491.1,"91,180","4,52,34,332.10"
NABIL,02/07/2025,494.96,0.64,495.8,491,494.5,"55,089","2,72,02,962.40"
NABIL,01/07/2025,491.79,0,496.4,491,496.4,"35,495","1,74,76,977.90"
NABIL,30/06/2025,491.81,0.41,493.1,490.1,490.1,"37,425","1,84,21,945.10"
NABIL,29/06/2025,489.82,0.8,490,482,482,"40,790","1,98,55,309.40"
NABIL,26/06/2025,485.95,-0.06,488.5,485.1,486,"33,097","1,61,01,679.80"
NABIL,25/06/2025,486.24,-0.22,488.9,481,488,"24,807","1,20,47,864.20"
NABIL,24/06/2025,487.3,-0.01,493,483.2,489,"54,280","2,64,44,244.90"
NABIL,23/06/2025,487.35,-0.34,489.9,485,489.9,"30,576","1,48,88,929.00"
NABIL,22/06/2025,488.99,-0.01,493,485,493,"47,834","2,33,46,142.00"
NABIL,19/06/2025,489.04,-0.19,494.8,487,494.8,"78,016","3,81,71,293.10"
NABIL,18/06/2025,489.97,0.2,492,488,490,"44,689","2,18,73,393.40"
NABIL,17/06/2025,488.99,-0.33,492,487.1,490,"36,559","1,78,76,245.80"
NABIL,16/06/2025,490.59,-0.03,497,489,497,"48,455","2,37,92,554.90"
NABIL,15/06/2025,490.73,0.26,495,490,495,"43,276","2,12,56,612.50"
NABIL,12/06/2025,489.44,-0.18,493,488.3,493,"53,316","2,61,26,194.50"
NABIL,11/06/2025,490.34,-0.29,495,490,495,"39,951","1,96,27,959.60"
NABIL,10/06/2025,491.77,0.17,494.9,490,494.9,"38,403","1,88,91,832.90"
NABIL,09/06/2025,490.93,0.26,494.9,489,489.9,"29,647","1,45,85,465.20"
NABIL,08/06/2025,489.65,-0.55,495,489,490,"50,694","2,48,65,295.40"
NABIL,05/06/2025,492.37,0.26,498,489,498,"47,113","2,31,60,435.10"
NABIL,04/06/2025,491.11,-1.27,499,490,499,"48,051","2,36,50,135.00"
NABIL,03/06/2025,497.45,-0.66,505.9,495,505.9,"54,808","2,73,20,373.90"
NABIL,02/06/2025,500.78,0.07,510.4,500.1,510.4,"73,634","3,70,32,517.50"
NABIL,28/05/2025,500.42,0.79,501.9,494,501.9,"66,059","3,29,27,625.30"
NABIL,27/05/2025,496.48,-0.32,498.1,493.6,498,"33,750","1,67,28,470.20"
NABIL,26/05/2025,498.07,0.27,516,496.1,506.6,"87,620","4,39,57,960.70"
NABIL,25/05/2025,496.75,-0.56,510,495,509.5,"1,08,411","5,40,20,885.70"
NABIL,22/05/2025,499.55,1.08,503,494.6,499.5,"71,455","3,56,62,859.30"
NABIL,21/05/2025,494.21,1.24,527,492.5,497.9,"91,325","4,57,23,449.60"
NABIL,20/05/2025,488.16,1.16,489,481,482.6,"43,243","2,09,74,647.60"
NABIL,19/05/2025,482.58,0.43,488,479.9,488,"42,039","2,02,93,353.50"
NABIL,18/05/2025,480.49,-0.34,485,479,483,"37,266","1,79,02,061.60"
NABIL,15/05/2025,482.11,-0.36,486,481.5,485,"47,247","2,28,44,525.90"
NABIL,14/05/2025,483.85,-0.73,490,482,490,"25,028","1,21,22,585.60"
NABIL,13/05/2025,487.41,0.36,493.6,481,488,"65,061","3,15,85,532.70"
NABIL,11/05/2025,485.65,0.62,490,484.5,490,"44,892","2,17,99,860.50"
NABIL,08/05/2025,482.64,-0.14,490,480.5,490,"54,724","2,64,24,061.90"
NABIL,07/05/2025,483.31,1.34,485,474.1,477,"66,388","3,18,28,953.00"
NABIL,06/05/2025,476.94,-0.27,484,475.1,478,"39,968","1,90,59,469.10"
NABIL,05/05/2025,478.25,-0.01,481,477,478,"39,597","1,89,46,454.80"
NABIL,04/05/2025,478.32,0.03,487.4,477,480,"44,594","2,13,78,606.20"
NABIL,30/04/2025,478.18,-0.68,487,478,480,"49,915","2,39,20,163.40"
NABIL,29/04/2025,481.45,0.03,488,480,480,"29,998","1,44,51,570.20"
NABIL,28/04/2025,481.3,-0.76,487.9,480.6,485.3,"45,746","2,20,48,192.70"
NABIL,27/04/2025,485.01,-0.18,490,483.2,490,"50,578","2,45,78,874.70"
NABIL,24/04/2025,485.87,-0.18,489.9,483,483,"30,597","1,48,63,308.90"
NABIL,23/04/2025,486.77,-0.2,488,482,487,"65,014","3,14,91,464.60"
NABIL,22/04/2025,487.76,-0.63,494,485,490,"31,332","1,52,66,150.50"
NABIL,21/04/2025,490.87,-0.25,495,490,494.9,"49,104","2,41,61,003.30"
NABIL,20/04/2025,492.09,-0.46,501.2,490,500,"79,228","3,91,03,117.80"
NABIL,17/04/2025,494.38,1.04,495.6,489,490.8,"54,656","2,69,22,513.40"
NABIL,16/04/2025,489.31,0.28,497,488,497,"43,376","2,12,40,560.50"
NABIL,15/04/2025,487.96,0.2,496,486,496,"62,586","3,05,17,392.00"
NABIL,13/04/2025,486.97,0.21,495.6,484.1,495.6,"44,237","2,15,06,720.90"
NABIL,10/04/2025,485.97,-0.06,492.4,484,491,"30,292","1,47,17,797.10"
NABIL,09/04/2025,486.27,0.33,494,483.2,494,"26,187","1,27,44,525.00"
NABIL,08/04/2025,484.65,-0.48,486,478,485,"38,820","1,87,46,522.30"
NABIL,07/04/2025,486.97,-0.36,497,482,490,"46,130","2,24,22,636.00"
NABIL,03/04/2025,488.73,0.72,494,486.1,491,"42,041","2,06,02,284.70"
NABIL,02/04/2025,485.26,0.14,494.2,484,494.2,"36,189","1,75,75,535.20"
NABIL,01/04/2025,484.56,-0.29,493,483,490,"37,377","1,81,55,530.10"
NABIL,30/03/2025,485.96,0.18,492,484,485,"52,866","2,58,68,427.10"
NABIL,27/03/2025,485.09,0.79,490.9,480,490.9,"38,210","1,85,13,985.20"
NABIL,26/03/2025,481.31,0.25,485,477,485,"49,757","2,39,16,849.50"
NABIL,25/03/2025,480.13,-0.81,485,478,485,"78,144","3,74,94,028.20"
NABIL,24/03/2025,484.03,0.29,486,476.5,484.5,"54,964","2,65,24,696.80"
NABIL,23/03/2025,482.62,-0.96,488,482,488,"48,632","2,35,44,363.10"
NABIL,20/03/2025,487.31,-0.33,490,487,489,"36,716","1,79,08,359.70"
NABIL,19/03/2025,488.9,-0.51,496,487,495,"49,272","2,41,18,449.00"
NABIL,18/03/2025,491.4,0.29,499.8,488,499.8,"28,929","1,42,22,960.90"
NABIL,17/03/2025,490,-0.22,498,486,491.1,"41,530","2,04,17,432.30"
NABIL,16/03/2025,491.1,0.02,494.9,485,494.9,"71,238","3,46,82,594.90"
NABIL,12/03/2025,491,0,494,489,494,"39,132","1,92,04,640.20"
NABIL,11/03/2025,491,0,495,486.1,492,"45,903","2,25,59,000.90"
NABIL,10/03/2025,491,-0.81,500,490,496,"44,625","2,19,79,031.80"
NABIL,09/03/2025,495,-0.62,502,493,498,"53,038","2,63,80,628.30"
NABIL,06/03/2025,498.1,-0.18,502,498.1,502,"76,130","3,80,30,227.30"
NABIL,05/03/2025,499,-1.58,509.5,498.5,509.5,"66,686","3,33,96,397.30"
NABIL,04/03/2025,507,-1.55,520,504,520,"1,16,499","5,92,29,782.70"
NABIL,03/03/2025,515,-0.77,529.2,515,523,"1,10,922","5,77,82,578.40"
NABIL,02/03/2025,519,3.43,519,506,511.8,"1,14,489","5,87,97,746.20"
NABIL,27/02/2025,501.8,2.62,518,498,498.7,"1,23,140","6,18,37,235.80"
NABIL,25/02/2025,489,0,490,488,490,"36,470","1,78,31,334.20"
NABIL,24/02/2025,489,-0.18,495,488.5,490,"63,464","3,11,39,937.70"
NABIL,23/02/2025,489.9,-1.01,495,485.1,485.1,"84,304","4,13,66,659.70"
NABIL,20/02/2025,494.9,-0.22,503.8,486.1,486.1,"44,322","2,19,43,112.10"
NABIL,18/02/2025,496,0.4,500,494,500,"60,431","3,00,12,969.00"
NABIL,17/02/2025,494,1.44,495.9,485.3,487,"70,310","3,45,07,660.80"
NABIL,16/02/2025,487,0.31,488.3,482.9,486.8,"53,350","2,58,59,337.70"
NABIL,13/02/2025,485.5,0.1,490,482.1,488,"40,707","1,97,45,431.70"
NABIL,12/02/2025,485,-0.41,487,482.1,487,"51,961","2,51,63,981.50"
NABIL,11/02/2025,487,-0.61,492,486,492,"29,647","1,44,48,351.10"
NABIL,10/02/2025,490,0.76,490,484,486.5,"51,838","2,52,08,899.60"
NABIL,09/02/2025,486.3,-0.08,495,485,495,"49,012","2,38,79,846.40"
NABIL,06/02/2025,486.7,-0.67,495,486,494,"50,451","2,46,74,687.80"
NABIL,05/02/2025,490,-0.61,493,489.5,491.1,"70,028","3,43,68,058.90"
NABIL,04/02/2025,493,-0.58,500,490,500,"53,987","2,66,37,510.80"
NABIL,03/02/2025,495.9,0.92,503,491.4,492,"1,09,341","5,44,12,930.60"
NABIL,02/02/2025,491.4,3.24,493.4,476.1,479,"1,05,241","5,12,66,050.70"
NABIL,28/01/2025,476,-0.73,481,475,478,"1,08,959","5,19,00,828.70"
NABIL,27/01/2025,479.5,-0.56,483,477.2,481,"62,150","2,97,73,335.50"
NABIL,26/01/2025,482.2,-1.19,492,482.1,492,"54,531","2,64,37,625.30"
NABIL,23/01/2025,488,0.41,492,485.3,490,"51,932","2,53,66,955.60"
NABIL,22/01/2025,486,0.54,488.8,483,483,"62,780","3,04,83,036.60"
NABIL,21/01/2025,483.4,-0.23,489,480.3,484,"50,098","2,41,75,213.00"
NABIL,20/01/2025,484.5,-0.76,495,482.2,490,"82,199","3,99,45,308.90"
NABIL,19/01/2025,488.2,-0.18,497,485,489,"52,392","2,55,18,159.50"
NABIL,16/01/2025,489.1,-0.08,495,487,490,"51,859","2,53,36,426.10"
NABIL,15/01/2025,489.5,0,494,489,492.1,"52,957","2,59,94,163.70"
NABIL,13/01/2025,489.5,-0.22,496,489.5,491,"86,269","4,24,28,502.50"
NABIL,12/01/2025,490.6,-0.99,505.4,490,505.4,"46,984","2,31,32,116.90"
NABIL,09/01/2025,495.5,-0.68,500,494,499,"1,38,476","6,87,74,076.30"
NABIL,08/01/2025,498.9,-0.22,510,497,510,"74,206","3,69,98,891.80"
NABIL,07/01/2025,500,0.2,504,498,499,"64,195","3,20,74,731.10"
NABIL,06/01/2025,499,0,501.5,498,501.5,"1,02,420","5,11,18,470.50"
NABIL,05/01/2025,499,-0.06,504,498,502,"67,379","3,36,40,202.30"
NABIL,02/01/2025,499.3,-0.42,502,499,502,"43,634","2,18,12,724.40"
NABIL,01/01/2025,501.4,-0.12,502.9,500,502,"29,808","1,49,28,274.40"
NABIL,31/12/2024,502,-0.14,512.7,498,512.7,"53,222","2,65,62,216.30"
NABIL,29/12/2024,502.7,0.14,508.9,499,504.1,"64,296","3,23,22,538.00"
NABIL,26/12/2024,502,0.2,511,498,511,"1,27,622","6,41,23,331.60"
NABIL,24/12/2024,501,0,506,499.1,503,"66,517","3,33,91,369.20"
NABIL,23/12/2024,501,-0.38,502.9,498,502.9,"86,473","4,32,72,734.60"
NABIL,22/12/2024,502.9,-1,511,497.9,497.9,"67,080","3,37,61,555.00"
NABIL,19/12/2024,508,-0.74,514,508,512,"73,723","3,76,10,350.00"
NABIL,18/12/2024,511.8,-0.04,520.4,501.8,501.8,"57,475","2,94,70,230.70"
NABIL,17/12/2024,512,-0.18,518,509.1,513,"53,169","2,72,68,731.10"
NABIL,16/12/2024,512.9,-1.37,524,509.7,520,"47,147","2,41,75,344.30"
NABIL,12/12/2024,520,-1.52,538.5,518.3,535,"56,954","2,99,99,645.90"
NABIL,11/12/2024,528,3.92,529.8,506.1,508,"70,328","3,61,46,924.20"
NABIL,10/12/2024,508.1,-0.37,514,505,510,"51,966","2,64,32,713.90"
NABIL,09/12/2024,510,-0.87,516.9,505,505,"54,624","2,79,32,970.60"
NABIL,08/12/2024,514.5,-2,526,513.5,526,"76,545","3,95,66,583.40"
NABIL,05/12/2024,525,-0.94,540.6,523,540.6,"61,452","3,23,05,643.40"
NABIL,04/12/2024,530,-0.38,542.6,530,542.6,"69,630","3,69,64,486.10"
NABIL,03/12/2024,532,-0.37,544.6,530.2,544.6,"62,719","3,33,51,241.10"
NABIL,02/12/2024,534,-0.37,546.7,533,546.7,"80,685","4,31,32,809.20"
NABIL,01/12/2024,536,-0.74,540,534.1,537.3,"79,422","4,26,27,477.80"
NABIL,28/11/2024,540,-1.46,551,539,545,"98,283","5,33,83,609.80"
NABIL,27/11/2024,548,0.55,549.5,544,545,"59,923","3,27,81,668.00"
NABIL,26/11/2024,545,-0.47,556,540,547.6,"96,250","5,23,98,724.40"
NABIL,25/11/2024,547.6,-1.86,569.1,542.7,569.1,"78,417","4,28,26,396.00"
NABIL,24/11/2024,558,0.78,564.7,555,564,"1,09,617","6,11,41,240.40"
NABIL,21/11/2024,553.7,-0.59,565,552.2,565,"56,753","3,14,72,593.90"
NIL,09/10/2025,596,1.36,622,590,599.7,"13,734","83,07,630.00"
NIL,08/10/2025,588,-2.33,605,580.1,605,"14,718","86,48,164.80"
NIL,07/10/2025,602,-2.11,616,600,616,"11,715","70,83,725.70"
NIL,28/09/2025,615,0,620,611,615,"9,483","58,23,653.40"
NIL,25/09/2025,615,0.16,619.8,610.1,619,"6,517","40,08,682.90"
NIL,24/09/2025,614,-2.07,626.8,614,621,"8,858","54,92,327.50"
NIL,23/09/2025,627,3.64,633.9,595.2,595.2,"17,972","1,11,75,840.00"
NIL,21/09/2025,605,-4.57,621.4,580,621.4,"63,302","3,76,33,418.00"
NIL,18/09/2025,634,-5.86,660,634,660,33,"21,310.00"
NIL,08/09/2025,673.46,-1.08,694.4,672,694.4,"5,441","36,73,772.80"
NIL,07/09/2025,680.8,-0.13,695.3,678,683,"8,801","59,97,963.00"
NIL,04/09/2025,681.71,-0.08,685.9,674,674,"6,642","45,12,979.50"
NIL,03/09/2025,682.25,-0.97,691,680,688,"12,090","82,89,421.00"
NIL,02/09/2025,688.96,-0.5,703.5,688.2,690,"8,339","57,61,791.50"
NIL,01/09/2025,692.45,-0.26,700,692,695,"6,650","46,27,043.20"
NIL,31/08/2025,694.26,-1.47,706,694,701,"8,347","58,22,683.50"
NIL,28/08/2025,704.6,-0.9,725,700.1,711,"8,168","57,80,902.80"
NIL,27/08/2025,711,1.46,714,695.2,698,"10,102","71,36,296.60"
NIL,26/08/2025,700.76,0.15,707,699.1,699.69,"7,841","55,09,916.90"
NIL,25/08/2025,699.69,-0.01,702,692,692,"7,234","50,50,664.20"
NIL,24/08/2025,699.73,0.24,711.9,695,695,"6,193","43,27,598.30"
NIL,21/08/2025,698.05,-0.12,705,695,695,"5,131","35,87,772.40"
NIL,20/08/2025,698.89,-1.54,720,698,720,"9,622","67,43,075.10"
NIL,19/08/2025,709.82,1.09,720,709,711,"12,123","86,25,313.40"
NIL,18/08/2025,702.2,-0.86,710,702,703,"15,776","1,11,05,955.20"
NIL,17/08/2025,708.31,0.58,715,690,704.2,"35,317","2,47,33,850.90"
